ZipCode,County,Lat,Lng
94304,Santa Clara County,37.3813444,-122.1802812
92802,Orange County,33.8124094,-117.9192679
92880,Riverside County,33.8998939,-117.6317494
95946,Nevada County,39.2836679,-121.2397438
95128,Santa Clara County,37.3189149,-121.9416226
91401,Los Angeles County,34.1789379,-118.4338345
92003,San Diego County,33.2822878,-117.185294
90094,Los Angeles County,33.97448060000001,-118.4177707
95765,Placer County,38.8113924,-121.2740813
96051,Shasta County,40.9608794,-122.3844187
95006,Santa Cruz County,37.1833232,-122.151897
93265,Tulare County,36.2106674,-118.7198004
95110,Santa Clara County,37.354611,-121.918866
95462,Sonoma County,38.4672117,-123.0198024
94526,Contra Costa County,33.8803536,-118.2351192
91776,Los Angeles County,34.0895991,-118.0947106
95073,Santa Cruz County,37.0459268,-121.9359339
91723,Los Angeles County,34.0870296,-117.8868171
95443,Lake County,39.0322199,-122.7403702
93040,Ventura County,34.5096515,-118.8363756
92127,San Diego County,38.5890819,-121.4084731
91737,San Bernardino County,34.1787581,-117.5848025
92339,San Bernardino County,34.0946892,-116.9028125
92832,Orange County,33.8733037,-117.9307584
93535,Los Angeles County,34.7311394,-117.8780275
95726,El Dorado County,38.7931476,-120.4588059
91935,San Diego County,32.6890231,-116.8203511
90720,Orange County,33.7976003,-118.0712981
95466,Mendocino County,39.1028702,-123.5056016
94949,Marin County,38.0599857,-122.503327
92110,San Diego County,32.7657318,-117.199996
95135,Santa Clara County,37.2751505,-121.685341
94598,Contra Costa County,37.89618249999999,-121.9814354
93668,Fresno County,36.6411184,-120.2743484
95721,El Dorado County,38.8349932,-120.078078
96075,Tehama County,38.6969922,-121.5940773
95526,Humboldt County,40.4606038,-123.6497843
95005,Santa Cruz County,37.0945364,-122.0951062
94563,Contra Costa County,37.8912529,-122.1859572
92108,San Diego County,32.7742488,-117.1411815
95127,Santa Clara County,37.373498,-121.7594384
95008,Santa Clara County,37.2770029,-121.9529992
90712,Los Angeles County,33.8493162,-118.153228
90006,Los Angeles County,34.0470832,-118.2965121
91311,Los Angeles County,34.2710376,-118.61481
90046,Los Angeles County,34.1147313,-118.3637264
93962,Monterey County,36.6250909,-121.6461352
94539,Alameda County,37.5148444,-121.9131761
90501,Los Angeles County,33.8291867,-118.3169714
91502,Los Angeles County,34.1772371,-118.3082034
90815,Los Angeles County,33.7963296,-118.1181199
95709,El Dorado County,38.7586142,-120.6775054
93710,Fresno County,37.2589827,-121.8847222
91016,Los Angeles County,34.1574588,-118.0068979
93465,San Luis Obispo County,35.5316951,-120.7464897
92128,San Diego County,33.0013938,-117.0735241
95041,Santa Cruz County,37.0510751,-122.0584474
93442,San Luis Obispo County,35.4197336,-120.8269231
96123,Lassen County,40.8416845,-120.2444251
95959,Nevada County,39.3153201,-120.9417368
92548,Riverside County,33.7552579,-117.1147095
95449,Mendocino County,38.9351173,-123.1014056
91791,Los Angeles County,34.0566376,-117.8956062
93626,Fresno County,37.0429444,-119.6730939
93555,Kern County,37.7630254,-121.2397438
90621,Orange County,33.8794822,-117.9893301
93907,Monterey County,36.7918545,-121.6511258
91775,Los Angeles County,34.1232517,-118.0830047
95054,Santa Clara County,38.743802,-121.1824925
93446,San Luis Obispo County,35.6573145,-120.7579834
95405,Sonoma County,38.43922999999999,-122.6673018
95010,Santa Cruz County,36.9764598,-121.9501551
93723,Fresno County,36.7702756,-119.950926
92868,Orange County,33.78659,-117.8750976
93022,Ventura County,34.3925151,-119.3076098
91770,Los Angeles County,34.06173649999999,-118.0830047
92365,San Bernardino County,34.8628939,-116.6553351
95811,Sacramento County,38.5967128,-121.4941738
94507,Contra Costa County,37.8541701,-122.0098642
94560,Alameda County,37.5189256,-122.026918
94572,Contra Costa County,38.02923,-122.2483726
94923,Sonoma County,38.3251691,-123.0451347
94925,Marin County,37.920558,-122.5089856
95536,Humboldt County,40.4998302,-124.2649051
93226,Kern County,35.756937,-118.6964752
93461,San Luis Obispo County,35.6271932,-120.2974199
90631,Orange County,33.9226618,-117.9600466
93711,Fresno County,36.8381393,-119.829443
94558,Napa County,38.3170536,-122.3019206
94945,Marin County,38.1218145,-122.5485873
91335,Los Angeles County,34.2035088,-118.5389414
95444,Sonoma County,38.4336687,-122.8690828
95066,Santa Cruz County,37.0702838,-122.0155491
92844,Orange County,33.7636344,-117.9688322
92683,Orange County,33.7531536,-118.0010421
94582,Contra Costa County,37.7639471,-121.9131761
93261,Tulare County,35.8055077,-119.1128936
91722,Los Angeles County,34.0948204,-117.9073244
92109,San Diego County,32.7920948,-117.2323367
90240,Los Angeles County,33.9574105,-118.1210458
91790,Los Angeles County,34.9648191,-120.4933624
93737,Fresno County,36.7512882,-119.6441212
96022,Tehama County,40.3346427,-122.4798416
95060,Santa Cruz County,37.0105307,-122.1178261
93653,Madera County,37.2270871,-119.9277947
93430,San Luis Obispo County,35.4731575,-120.9187827
94903,Marin County,38.0270044,-122.5485873
95118,Santa Clara County,37.2589827,-121.8847222
94517,Contra Costa County,37.8793779,-121.8790306
93516,Kern County,35.00735270000001,-117.666952
90740,Orange County,33.7535679,-118.0830047
96145,Placer County,39.1384824,-120.1647036
92114,San Diego County,32.7040143,-117.0499859
95476,Sonoma County,38.2315738,-122.4693688
94952,Sonoma County,38.235501,-122.6420207
91304,Los Angeles County,36.7272444,-121.6397184
95630,Sacramento County,38.668585,-121.1481284
